userID,itemID,rating
AG3D6O4STAQKAY2UVGEUV46KN35Q,B07JW9H4J1,4.2
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B098NS6PVG,4
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,B096MSW6CT,3.9
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,B08HDJ86NZ,4.2
AE3Q6KSUK5P75D5HFYHCRAOLODSA,B08CF3B7N1,4.2
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,B08Y1TFSP6,3.9
AG7C6DAADCTRQJG2BRS3RIKDT52Q,B08WRWPM22,4.1
AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,B08DDRGWTJ,4.3
AGV3IEFANZCKECFGUM42MRH5FNOA,B008IFXQFU,4.2
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B082LZGK39,4
AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,B08CF3D7QR,4.3
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,B0789LZTCJ,4.2
AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,B07KSMBL2H,4.4
AGUAYQHARAKR2VZTRP276KAGETKQ,B085DTN6R2,4.2
AF2XXVO7JUBUVAOBTJ3MNH4DGUFQ,B09KLVMZ3B,4.1
AGSGSRTEZBQY64WO2HKQTV7TWFSA,B083342NKJ,4.4
AHEVOQADJSSRX7DS325HSFLMP7VQ,B0B6F7LX4C,4.2
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B082LSVT4B,4
AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,B08WRBG3XW,4.1
AHBNKB74LGTYUOKPAJBSKNFV45CA,B08DPLCM6T,4.3
AFNYIBWKJLJQKY4BGK77ZOTVMORA,B09C6HXFC1,4.5
AEO5FHWNOSFBT554DKQAG4ICBGFQ,B085194JFL,3.7
AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,B09F6S8BT6,4.3
AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,B09NHVCHS9,4
AFSMISGEYDYIP3Z42UTQU4AKOYZQ,B0B1YVCJ2Y,4.3
AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,B01M4GGIVU,4.2
AFUT7ANZTZYGLXU65EQ2D5OP6UMA,B08B42LWKN,4.2
AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,B094JNXNPV,4
AHZWJCVEIEI76H2VGMUSN5D735IQ,B09W5XR9RT,4.4
AFA332YHUPB6I7KMME7SOFX5RKQQ,B077Z65HSD,4.3
AGBX233C7B7D7YZEL7ZLFWMQKFDQ,B00NH11PEY,4.5
AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,B09CMM3VGK,4
AHMKXORT3VNMB75C3EUBYMFYELFQ,B08QSC1XY8,4.3
AEQWVGESA7TDGK7KZ4DAJQGYH32A,B008FWZGSG,4.3
AF477BP57JM7Z4JD4PYB2K33R6AQ,B0B4HJNPV4,3.9
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,B08Y1SJVV5,3.9
AF2IRSQZKMBGX44YDNUPYRHWXOZQ,B07XLCFSSN,4.4
AHUH7OYN3LAUATF5EGA575WCDI6A,B09RZS1NQT,4
AGDOVGWZKEQ3M6DA2GHV6WUZT5SA,B0B3MMYHYW,4.2
AHRUMHBZ7IAQPLH4W5Y3A6HLQFVA,B09C6HWG18,4.2
AEYHTCWWZYU3JQBU6SLNFFT3OMVQ,B00NH11KIK,4.5
AHB43CZ4RHLJ5S6CBOWX6MEI7J4Q,B09JPC82QC,4.3
AG3D6O4STAQKAY2UVGEUV46KN35Q,B07JW1Y6XV,4.2
AEM356PVXFHAXWV56KDO75FS5WPA,B07KRCW6LZ,4.3
AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,B09NJN8L25,4
AE47XF2766XJOEOI42DVP2HMB4YQ,B07XJYYH7L,3.3
AGA2PZGWMQIRA46VYOTICFE7KCBA,B002PD61Y4,4.1
AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,B014I8SSD0,4.4
AH5G2FWQ6AJBXK2IDCA22BNQTT2A,B09L8DSSFH,3.6
AF7IXQKBUL6NEIQG4R53LMJJUGXQ,B07232M876,4.2
AHDFR3PDKEBV72HXRL3RJJLS3YYA,B07P681N66,4.4
AF7IXQKBUL6NEIQG4R53LMJJUGXQ,B0711PVX6Z,4.2
AFWJSD4AVIM6DC3YA63G2QPENQSQ,B082T6V3DT,4.3
AFIU4APGHOFMXEOVMSQMYKMZ46QQ,B07MKFNHKG,4.2
AF36YUJUEUU3SA42PFAULM2F5RYA,B0BFWGBX61,4.1
AEOM4KLP4SKKVSOCAMP7ORLGPGUA,B01N90RZ4M,3.7
AGV3IEFANZCKECFGUM42MRH5FNOA,B0088TKTY2,4.2
AFUT7ANZTZYGLXU65EQ2D5OP6UMA,B09Q5SWVBJ,4.2
AGH3POHLPXABF3I4ASSGTRXAUPPA,B0B4DT8MKT,4.2
AFDCSF36NJYXASQOJCQWFQTN7SDQ,B08CDKQ8T6,4.3
AED54H4JXQGZT6GANH6PJN4SNU7Q,B07B275VN9,3.7
AHDIDVECFGA6OQRNUBPUO6366UGQ,B0B15CPR37,4.3
AF42EMTPEJAL4LNEPPX77TN77UHA,B0994GFWBH,4
AEITVIFC7WZAEQDIVWPB4KUGKLRQ,B01GGKZ0V6,4.2
